ID,Name,Beschreibung,CannaWorld-Teil,Domäne/Kategorie,Empfänger/Rolle,Delivery-Typ,Input → Output,Beleg-Quelle,Reifegrad,AIHF-Bezug,Status
DR-001,"GACP Readiness Preparation Program — M1: Initial Inspection, Diagnostic & Gap Assessment",On-site visit to Thai cultivation facility (Bangkok region); compliance readiness diagnostic against GACP criteria; first gap assessment with priority ranking; action-plan foundation; SOP/hygiene/training requirement mapping; facility-flow review; traceability exposure review; application-readiness review; digital infrastructure concept,Gateway,Quality/GxP,Thai cannabis cultivator / operator,menschlich,Farm/facility access + client documents → gap assessment report + action-plan foundation + M1 deliverable pack,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §3.4 Milestone 1,Konzept,nein,BELEGT
DR-002,GACP Readiness Preparation Program — M2: Digital Infrastructure & Hygiene/SOP Awareness,"Activation of Cannaworld digital data room; document matrix, evidence register, missing-document register, action tracker setup; data capture and harmonisation of fragmented records; first internal non-certified Hygiene & SOP Awareness Briefing with training documentation (attendance sheets, staff acknowledgements, digital training record)",Gateway,Quality/GxP,Thai cannabis cultivator / operator,menschlich,Client data/docs → structured digital data room + Awareness Briefing 1 record package,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §3.4 Milestone 2,Konzept,nein,BELEGT
DR-003,"GACP Readiness Preparation Program — M3: SOP, Records, Traceability & Documentation Logic",SOP requirement mapping across cultivation/harvest/post-harvest/cleaning/hygiene/visitors/packaging/storage/traceability/complaints/deviations; record-keeping structure design; batch/lot data model; staff documentation logic; cleaning and pest-control record structure; second internal Awareness Briefing (Record-Keeping & Traceability); digital harmonisation upgrade,Gateway,Quality/GxP,Thai cannabis cultivator / operator,menschlich,"Existing farm workflows → SOP mapping, record structures, batch logic, Briefing 2 record package",Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §3.4 Milestone 3,Konzept,nein,BELEGT
DR-004,GACP Readiness Preparation Program — M4: Mock Audit & Deficiency List,"Mock inspection walkthrough simulating GACP-style readiness review: facility, process flow, hygiene logic, storage, packaging, post-harvest, evidence presentation; document/record review; staff and hygiene readiness check; traceability exposure check; prioritised deficiency list (critical/major/minor); mock audit management debriefing",Gateway,Quality/GxP,Thai cannabis cultivator / operator,menschlich,On-site audit → prioritised deficiency list + mock audit debriefing,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §3.4 Milestone 4,Konzept,nein,BELEGT
DR-005,"GACP Readiness Preparation Program — M5: Final Report, Authority Coordination & Digital Handover","Final readiness report with compliance status, remaining gaps, completed items; final action plan; authority liaison and application coordination structure; application package review; final management readiness briefing; digital handover through Cannaworld platform; basic platform access during project plus two months post-M5",Gateway,Regulatory,Thai cannabis cultivator / operator,menschlich,Completed readiness work → final report + application-file structure + digital handover,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §3.4 Milestone 5,Konzept,nein,BELEGT
DR-006,Digital Compliance Data Room — Basic (post-project monthly),"Read/write access to client's existing structured data: document matrix, evidence register, action tracker; export of own data; no active compliance management included",Gateway,Data/AI,Thai cannabis cultivator / operator,automatisiert,Client data upload → structured platform access + document matrix view,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §4.2,im-Code,nein,BELEGT
DR-007,Digital Compliance Data Room — Compliance Data Management (monthly),"Basic data room plus monthly data review, action-tracker maintenance, missing-document follow-up, monthly compliance status report",Gateway,Data/AI,Thai cannabis cultivator / operator,menschlich,Ongoing client data → monthly status report + updated action tracker,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §4.2,im-Code,nein,BELEGT
DR-008,Digital Compliance Data Room — Managed Compliance (monthly),"Compliance Data Management plus monthly remote spot check, CAPA follow-up, training-record maintenance, authority-window readiness monitoring",Gateway,Data/AI,Thai cannabis cultivator / operator,menschlich,Platform data + spot-check findings → managed compliance status + CAPA tracking,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §4.2,im-Code,nein,BELEGT
DR-009,Digital Compliance Data Room — Enterprise / Multi-Site (monthly),"Managed Compliance extended to multi-site rollout, custom reporting, cross-supplier reporting for buyer-side use; by quotation",Gateway,Data/AI,Multi-site Thai cannabis operator / buyer,menschlich,Multi-site data → unified cross-site compliance reports + custom integrations,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §4.2,Konzept,nein,BELEGT
DR-010,Training Documentation Setup,"One-off creation of training matrix, attendance sheet template, internal training record, staff acknowledgement form, confirmation-of-participation template, version control, digital filing structure on platform",Gateway,Education,Thai cannabis cultivator / operator,menschlich,Training requirements → complete training documentation system,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-011,Digital Training Material Package,"Creation of slide deck, handout, key rules, checklist, record examples; standard or custom scope; upload to Cannaworld platform",Gateway,Education,Thai cannabis cultivator / operator,AI-gestützt,Training topic brief → formatted training material set,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-012,Documented Digital Awareness Training Session,"60–90 minute internal non-certified remote training session with agenda, attendance, Q&A, training record, digital filing; output titled 'Internal Training Acknowledgement' or 'Confirmation of Participation'",Gateway,Education,Thai cannabis farm staff,menschlich,Training topic + staff list → session record + attendance + digital training acknowledgement,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-013,Documented On-Site Training,"On-site internal training covering hygiene walkthrough, SOP awareness, record-keeping, practical demonstration; half-day or full-day; attendance, photo evidence, training record; travel billed separately",Gateway,Education,Thai cannabis farm staff,menschlich,Farm location + staff + training scope → on-site session + photo evidence + training record,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-014,Quarterly On-Site Training Refresher,"Quarterly on-site refresher with practical compliance check, staff observation, record-quality review, corrective re-training notes; travel billed separately",Gateway,Education,Thai cannabis farm staff,menschlich,Prior training + current records → refresher session + compliance observation notes,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-015,Monthly Training Material Update,"Monthly micro-training, handout, checklist update, training-record support, digital publication on platform; basic or enhanced scope",Gateway,Education,Thai cannabis cultivator / operator,AI-gestützt,Updated regulatory/procedural input → monthly micro-training + updated checklist,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-016,Training Records Management (monthly),"Monthly maintenance of training matrix, attendance records, staff acknowledgements, version control, missing-training status tracking on platform",Gateway,Education,Thai cannabis cultivator / operator,menschlich,Training events + staff records → maintained training matrix + compliance-ready records,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-017,AI-Supported Training Content Desk (monthly),"AI-assisted creation of training materials, quizzes, SOP-based briefings, translations, micro-learnings, mock-audit questions; with human compliance review before release",Gateway,Education,Thai cannabis cultivator / operator,AI-gestützt,SOP/regulatory input → AI-drafted training content with human review sign-off,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §5.1,Konzept,nein,BELEGT
DR-018,Supplier Onboarding & Initial Qualification,"Initial supplier review: company-document review, facility profile, compliance baseline, GACP-readiness gap review, traceability baseline, digital data-room setup, initial supplier scorecard, marketplace-access recommendation; results in one of the defined supplier status levels (Pending → Pre-Qualified → Compliance-Reviewed)",Marketplace,Quality/GxP,Thai cannabis supplier seeking B2B marketplace access,menschlich,Supplier documents + facility profile → initial scorecard + status designation + data-room setup,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §6.2; also named 'Module F' in Green Chrono PDF (1YNIWlQQh2nzh6gvqaFTka8Z34dsLBjcN),Konzept,nein,BELEGT
DR-019,Semiannual Supplier Compliance Review,"Private supplier-qualification review for B2B marketplace and export-readiness access, conducted twice per year; covers facility status, documentation, training records, traceability records, batch/lot evidence, hygiene implementation, SOP availability, CAPA status, COA/lab evidence, supplier-risk scoring; size-dependent scope (small/mid/large farm); output: updated scorecard + status renewal",Marketplace,Trust/Audit,Compliance-Reviewed Supplier on Cannaworld marketplace,menschlich,Supplier data room + on-site or remote review → semiannual compliance report + updated risk scorecard,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §6.2; also named 'Module E' in Green Chrono PDF (1YNIWlQQh2nzh6gvqaFTka8Z34dsLBjcN); 'Semiannual Supplier Compliance Audit' in Salus PDF (16dtAOFNOfGiNV0aYhGzfTijFwPBOCttv),Konzept,nein,BELEGT
DR-020,Third-Party Supplier Review (for upstream/downstream client),"Independent supplier-risk and compliance review of an upstream or downstream partner on behalf of a buyer or principal; document review, facility check, traceability review, hygiene/SOP evidence, batch-handling review, COA review, risk rating, written recommendation",Marketplace,Trust/Audit,EU buyer / importer commissioning review of their Thai supplier,menschlich,Buyer brief + supplier access → supplier audit report + risk rating + accept/conditional/reject recommendation,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §6.2,Konzept,nein,BELEGT
DR-021,Supplier-Risk Scorecard Update (interim),"Off-cycle scorecard update following CAPA closure, change of facility, change of ownership, or major incident; updates supplier status without a full semiannual review",Marketplace,Trust/Audit,Active marketplace supplier,menschlich,Change event / CAPA closure evidence → updated scorecard + status flag,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §6.2,Konzept,nein,BELEGT
DR-022,"B2B Marketplace — Supplier Profile (Basic, monthly)","Supplier-side marketplace access: digital data room, supplier profile page, document storage; no buyer-facing visibility; lowest marketplace tier",Marketplace,Platform/Identity,Thai cannabis supplier,automatisiert,Supplier onboarding data → hosted supplier profile + document storage,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.1,im-Code,nein,BELEGT
DR-023,B2B Marketplace — Compliance-Reviewed Supplier Access (monthly),"Supplier profile with active action tracker, record storage, restricted buyer-facing visibility for Compliance-Reviewed Suppliers; includes Cannaworld status badge",Marketplace,Platform/Identity,Compliance-Reviewed Thai cannabis supplier,automatisiert,Compliance-Reviewed status + data room → active marketplace listing visible to vetted buyers,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.1; also 'Verified Supplier Retainer' in Green Chrono PDF (1YNIWlQQh2nzh6gvqaFTka8Z34dsLBjcN),im-Code,nein,BELEGT
DR-024,B2B Marketplace — Export-Ready Supplier Access (monthly),"Compliance-Reviewed Supplier access plus buyer data room, traceability profile, COA/batch folders, buyer DD pack, Cannaworld support window; for Export-Ready status suppliers",Marketplace,Platform/Identity,Export-Ready Thai cannabis supplier,automatisiert,Export-Ready status + batch/COA data → full buyer-facing export data room + buyer DD pack,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.1,Konzept,nein,BELEGT
DR-025,B2B Marketplace — Managed Export Supplier (monthly),Full cross-functional compliance management spanning Modules 2–8 with single Cannaworld point of contact for the supplier; highest supplier-side tier; by quotation,Marketplace,Platform/Identity,Large/strategic Thai cannabis supplier,menschlich,All compliance modules active → unified managed service with dedicated relationship manager,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.1,Konzept,nein,BELEGT
DR-026,B2B Marketplace — Buyer Access Basic (monthly),"Buyer-side access to search and view Compliance-Reviewed Supplier profiles, request supplier introductions, download buyer-pack PDFs",Marketplace,Platform/Identity,EU importer / buyer,automatisiert,Buyer KYC/licence verification → searchable supplier directory access + introduction request workflow,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.2,im-Code,nein,BELEGT
DR-027,B2B Marketplace — Buyer Access Standard (monthly),"Buyer Basic plus Export-Ready Supplier visibility, COA preview, buyer DD pack download; deeper supplier information for procurement decisions",Marketplace,Platform/Identity,EU importer / pharmacy group,automatisiert,Standard buyer subscription → Export-Ready supplier profiles + COA preview + buyer DD pack,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.2,Konzept,nein,BELEGT
